tweets,labels
bra mu di asem be ba oooo lol ??,Negative
saa na cmo p no o bro ??????,Neutral
saa pppp menua ????,Positive
kwasia saa nu??,Negative
eii ????????saa  sfz,Neutral
wode gyimii saa,Negative
fa wo gyimie soor horadn na moadwene awu saa,Negative
ei saa,Neutral
anisohye saa na wafa mu ewu,Negative
ah na amponsa paa nso de? oh,Neutral
?fa ne hu b?n ?fa wuhu b?n ?fa ?mmu hunu b?n,Negative
wo nso woobl o…dwene wo ho??,Neutral
aba no saa,Neutral
oh saa,Neutral
gyimie saa,Negative
despite dea se dede sika nso mp dede,Positive
saa,Neutral
???y? hu,Negative
saa ni gyimii no,Negative
??????saa boy no de,Neutral
oh saa??????,Neutral
bra ayisi ????????????????,Neutral
owwws s nipa b bra oo ??????,Neutral
mtn nso de???????,Neutral
hmmm bra ??,Neutral
akwaaba oooo ?ni? so m? ??hhh,Neutral
ye b?y? no saa p?p??p?,Positive
bra enoch manu wano wham,Positive
paapa me pa wo ky?w an?pa yi de? ky? ma no nso me so bi wae na ?k?m y? ta yesufie,Positive
okyena nso biom,Negative
saa ppp,Positive
????oboa nso oo,Neutral
eiiiii bra thomas??afa,Positive
de? ?t? so,Neutral
ei saa,Neutral
oboa nso o,Negative
wo te pr no ase paah oo ei bra marcus,Neutral
?fa a ?dikan no aba awie?man utd palacewo huu mm?denb? no s?n,Positive
saa p?p??p? wofa,Neutral
whaine nso nie,Neutral
na woadi mfe? s?n na wodii kan waree?,Neutral
didi fri wofie na bra,Positive
albert einsteinwonim kasa degyama wo na wode kasakoa baa ghananana nie,Positive
aden na wagyimi saa,Negative
?y? tan ah ?????????,Negative
aware? bi sei de?,Negative
saa na te oo ????,Negative
oh bra adn,Neutral
fa sika bra,Neutral
hw gyimii no nso,Negative
saa ppp,Neutral
oh bra ben lol,Neutral
?? ?? ?? ?? ?? b? ab?n s?n,Neutral
aaah bra aden skin pain paaa nie,Negative
wo bma na abrem saa no,Neutral
saa banku,Neutral
hw no nso??,Neutral
oh afia meny saa??,Neutral
nsuo by buo den,Neutral
bra fie ??,Neutral
nokr? ne saa nti biribi b?to wo no na mede meho aka nwura wo ne nananom ne ahenfie no nyinaa mede asi ha??,Negative
smoove akwaaba ??,Positive
mede wode nso aky wo,Neutral
nom nsuo,Neutral
me bra nieeee ??????,Neutral
oh bra emma ??,Neutral
ei saa,Negative
bra wale ??????,Neutral
ebiaa ni oo kwasia brofo saa na ye wu k aww bibini,Negative
wo nso wonni ne wose ho foo?mo ho fii a ?mo de awo kwasea bi te s? wo ?na wokeka nkwaseas?m aboa funuwode? fa wo ho brakwasia baawoho kankan,Negative
???????? wobedi sika nso wobda gee naniama,Neutral
enzo akwaaba,Positive
ooooh bra alvin????,Neutral
nansuo? b?n,Neutral
kotoko nso paaa de? ah ??,Neutral
afe wei nso wo b? ka w’as?m akyer? onipa biom heii berma last year na ?y? b?k?? de?,Negative
obi a ni papa ab bra so wosi ma onka ah ????????,Negative
herh fa wo kwasia k? na wo nny? ade? saa,Negative
saa ????,Neutral
aane patapaa kraa y,Neutral
bra yakubu,Neutral
akwaaba medaase,Positive
oh mepa wo kyew may den ??,Neutral
bra panyin ????,Neutral
mo nso ay? aahba,Neutral
y nam mu saa??????????,Neutral
bra panin,Neutral
afe wei nso wo b? ka w’as?m akyer? onipa biom heii berma last year na ?y? b?k?? de?,Negative
bra ??  stcoapsbwhaeo,Neutral
ah na menim s wagyimi saa oo??,Negative
?y? as?m oo ??,Neutral
… wagyimie saa,Negative
onua  ?y? me a o na hmm mab?di ghana sesiaaaaaaaa yi,Neutral
wode gyimii saa,Negative
aden bra??,Negative
?n? nso y?b?y? w?n dosooseisiaa sancho aba yi de? as?m na ato nkor?fo?,Negative
?y? me mm?b? mpo,Negative
sia d sia ?????? gyimi saa oo???????,Negative
abrabo,Neutral
sradenam kraa y? s?n,Neutral
wo  saa boy wei wabodam anaaa,Negative
saa ppp??????,Neutral
aah aah aah as?m b?n kraa ni,Neutral
aane ooo me nua,Positive
ghanaian proverb b?ntoa nni kapr? nso trumu ak?se? na odi,Positive
?? ?? ??  ?to? de? ?y?,Positive
ei bra theo ????,Neutral
yoo mati bra peni,Positive
jojo ??… bra fie,Positive
wo nya sika a bet na wo de twas? ?y? wo f???????????,Negative
ohh?? dabro saa ne sister no na ?y? me de? o ?y? nipa bia,Neutral
sre aa bra,Neutral
aba ha nso bio,Neutral
herh fab gyae saa,Negative
wode bdi cdc fadi banku ??????,Negative
wo nso wonni ne wose ho foo?mo ho fii a ?mo de awo kwasea bi te s? wo ?na wokeka nkwaseas?m aboa funuwode? fa wo ho brakwasia baawoho kankan,Negative
?sikanyi b?n na ne yere ho nny? f?,Negative
hwan nso nie,Neutral
?y? d? yie??????,Positive
eei  wode asm bba,Negative
?y? hu o ??????,Negative
as?m b?n kraa nie,Neutral
wode b?t? ?d? mu ama n’atete w’ani so later dea anka fa nom nsa,Negative
???? nkwasia study b?n nono,Neutral
dn nso ne sabby???????,Neutral
akwaaba medaase  sedmhe,Positive
wode dien,Neutral
ogyam se oy hard nso nema nu pae p ofi ????,Negative
na s?? ama tundra so wagyimi saa ??????????,Negative
wo saa boy wei ankasa wabodam pen,Negative
akwaaba medaase,Positive
ei bra aden,Negative
ho ?? is that all wei di ny asem biaaaa… bra efie b gy toffee k di wai,Positive
bra senyo,Neutral
hw obaa anim nene gyimii??????ne ho nso nny f,Negative
saa mom ??,Neutral
light off s? s?n,Neutral
ooh saa??????,Neutral
twi versionmpo obi apolisifo? de abankaba agu ne nsa aw? nakyi nkonsa de no ato ?mo kokom mpr? bebree ?w? ne ns?mkeka basaa ho,Negative
oh bra????????,Neutral
me ly paa oo nso me sika sem ny ??,Multilingual
anopa tututu sei na wo fura yani saa no ei ????,Negative
nsuo nkoaa ????????,Neutral
eeii breda na ?y? force??????????,Neutral
aane ??,Positive
?fa wo ho b?n??????????,Negative
papa wei nso she de?n anpa wei??????,Neutral
saa ong,Neutral
aane mote dw dodo????,Negative
odwan bra na b pira ??,Negative
?y? bayie because bob marley no s? ?ny? ne nana no no nti ad?n,Neutral
saa ong,Neutral
saa ppp ????,Negative
mongyae saa mo gyimii no??,Negative
?y? me sere mpo lfc,Negative
oooh bra kanobiom ??????????,Neutral
saa mmom,Neutral
gyimii saa,Negative
kwasia bra wo bc wc sahuss nti??,Negative
bra fie ??????,Positive
?ny? de? ?hia nie,Neutral
lol brofo b?n nso nie ????????,Neutral
?? hw kwasia bi nso,Negative
akwaaba medaase  slsoyor,Positive
blacko wagymi anaa ????????  atade? b?n nono,Negative
eii bra na nya abotr kakaraa manu,Negative
hw no nso ne gyimii bi??????,Negative
wkhkyd me ko ho s won nso ma me,Positive
saa  eii,Neutral
aane ????,Neutral
guimii saa ahhhh??,Negative
eeiii ?y? hu oh,Neutral
nah bj nso eehh,Negative
???????? manu ma wo akwaaba??,Positive
hw? ?no nso ??,Neutral
dbee papa b?n na ?k? aban sukuu,Neutral
kwame na wei nso erh,Neutral
bra fie,Positive
na wonso saa na wo te  ssdoa,Negative
?y? me hu mpo,Negative
gyimiii saa,Neutral
bra panin,Neutral
?y? wapampa so,Negative
eeii saa,Neutral
hw gyimifuo wei nso,Negative
gyimiie nkoaaaa na ?y? mo d?,Negative
shata wode asem aba????  srdlihe,Positive
medaaase bra ??,Neutral
meh na wob boo bosea nso wonkae ??????,Negative
nso onnfa,Negative
eii saa??,Neutral
kasa tintin saa na,Neutral
na wo ho nso y f s akyem police,Positive
obua nsuo,Neutral
gyimie saa sesei de yesu kristo so na wadru,Negative
?????? akwaaba ??,Neutral
afe b?n na wo hy?? ase s?pp?te fulham me de? ?da a kwame nkrumah kaa s? ghana,Positive
as?m b?n koraa nie,Neutral
bra emma ????,Neutral
mamahwan na de sika no maa womemaa me paakyew is bra  ??,Negative
eeei ay ka oooo abieku nso aden,Negative
oh bra n’aden  sbj,Negative
bosom pyung,Neutral
wop saa ohh??,Positive
m’ani tua s? wose atu wose ?y? gyer?,Negative
saa mom,Neutral
gyae saa ??????,Negative
masa borcde na wo wi no raw saa,Negative
bra????,Neutral
oh bra aden,Negative
saa ppp nsemhunu nkoaa,Negative
me bra nie??????,Neutral
mo nso de ?? ??  sr,Neutral
hwe ne kwasia bi saa mo gyimie nu,Negative
akwador? ?y? d? de? ?nso ?de ohia na ?ba nti hw? wo ho yie…  wkhkyd,Negative
saa,Neutral
oh mepa wo kyew menny saa ??,Negative
saa mmom??,Neutral
ah bra mike ??????,Neutral
oh bra??,Neutral
emfa woho bra,Negative
equalization ne gyimie saa,Negative
?? bum bum b?n,Neutral
wagyimi nti babiara wode k?,Negative
anoe geh nso ????,Negative
yebedi wo sika ma n’saa sei tom,Negative
but she get woman nso,Neutral
eeeii bra emma ??????,Neutral
hwan ba nso no no?????????,Negative
bra j,Neutral
bra kwaku nie,Neutral
hwan nso nie ????  szrhjx,Neutral
?y? medikal,Neutral
wode asem bba ??????,Negative
ahh na wei nso erhh,Neutral
tiwa anaa s?n whan??,Neutral
keaku bosom koraa eny saa,Negative
aane o mwie??????,Negative
gyimie kasa saa,Negative
akwaaba ????,Positive
won b bra oo??????,Neutral
saa,Neutral
sika kakra nipa p gyis wo twen mins baako baako saa  ansa ??,Neutral
menso saa oo??,Neutral
agye me nsa mu koraa bra ????????,Negative
saa pp ??  sl,Positive
saa nso na nipa di ns? ????,Neutral
y gye wo so bra,Neutral
mtcheeew ?y? tan k?k?,Negative
snner ghana ay no derr woama woani anda h aa wode hnd no bkye boflot anaa wode btn nkatie borga oo,Positive
eii bra,Neutral
hwan nso no no ??,Negative
eyy saa,Neutral
eeei kasa b?n nie,Neutral
woho fiii????gyimie saa??,Negative
bra aden,Neutral
aane,Neutral
saa slip wei metwaa bi o bc a oun???????????,Negative
akwaaba medaase  sayr,Positive
saa wo gyimii nu??????????,Negative
aane ??,Neutral
?? aane,Neutral
oh bra abei y wai ??????????,Negative
wo saa akoa wei wani nnwu asm,Negative
bi nso nni sika????,Negative
oh bra payin  wonni probo endi spain nkomo wai,Negative
gyimie saa,Negative
aane oo ??????,Neutral
saa nkurofour wei wahu,Neutral
eeiii bra??????,Neutral
wanbor braa aa saa,Negative
wode maya??,Neutral
be koraa koraa ne s?n,Neutral
eiii eiii ?y? as?m oo kwabena ?bra yi b? y? yie paa,Negative
wo haw paa ne s?n,Negative
hmm eii awurade mma y obaa ne ho f oo ny saa wani koraa ngye wiade,Neutral
kyeres wode gyimi naaa ei natty ????,Negative
hwan nso nie,Neutral
wode y den,Neutral
medaase bra,Positive
ashoqqq wopri a saa ??,Negative
wode me ak nursing school??????,Positive
ah kwasia ny ???????? wei nso fri henjon ??,Negative
saa mmom,Negative
tw na so fu saa nu??????,Negative
as?m b?n koraa no ??,Positive
hwan nso nie ??????,Neutral
wasan nso asom na no kraaa,Negative
ah wode ehumbr y odo ??,Negative
wo y aboa paa ???????????? wo saa akoa wei??,Negative
aane oo baba,Positive
?y? tesla anaa,Neutral
na whan nso nie,Negative
oh menye blacko saa ??,Neutral
gyimii saa,Negative
herh mbappe edn nso nono ah,Negative
bra aboter wai,Neutral
gyimie saa ??,Negative
kwasia sem saa na wabodam,Negative
?nn? ankasa no snr man  ab? adwuma o ?som de? ?y?,Positive
eiii bra mike ??????????,Neutral
nana gyae saa????,Negative
akwaaba,Neutral
vhim talk nso bn nono ??????,Neutral
bra peter??,Neutral
kwasiato se na y de obi papa a wasan ab bra de agor,Negative
na hausa kooko nso er,Neutral
akwaaba,Positive
bra caleb,Neutral
bra kwadwo wo ti so oooo,Negative
?y? wanwa mpo,Negative
s wo nso wo y kwasia nti na wo tumi hu y,Negative
ahh bra ??????????????,Neutral
bra ben ????,Neutral
nso mo p no saara,Positive
saa p?p??p? menua????,Positive
gyae saa????????,Neutral
nsuo by bo dn,Negative
obi da th…obi nso da efie ase ??????????????,Negative
nkasa s no nti ne wo tuutuu bra yi,Neutral
nfa bra,Negative
?y? twa so????,Positive
bra ??????????????????,Neutral
ah as?m b?n ni ahkafra??,Neutral
fa bra??,Neutral
b saa aba????,Neutral
hw kwasia no nso tsw,Negative
wo papa abc bra aa na wobu wo wcfa??,Positive
bra knust,Neutral
?? wo saa boy wei onh… agenda nkoaaa,Neutral
wadwene so nso ynhu hwee bra aden,Neutral
aane ??,Positive
mepa wo kyew nyame ada koraa ??,Positive
nso manny? no saaebiaa na as?m aba ????,Neutral
eeii bra,Neutral
oh bra prinz ?????,Neutral
staff gyimigyimi b?n nono,Negative
s de nsuo y no saa nso na awia by ????????,Negative
oh yesu me nso me w ha ooo,Positive
bo wo bra,Negative
na ceaser refr? fr? ??,Neutral
natty nso woy emotional paaaa oooo??????????,Neutral
mfano saa????,Negative
akwaaba,Positive
bra kweku jordan,Neutral
o saa,Neutral
wode tai chi b?y? de?n w? syte  fight,Negative
eiiiiii bra ????????,Neutral
saa nkolaa wei ??,Neutral
paapa me pa wo ky?w an?pa yi de? ky? ma no nso me so bi wae na ?k?m y? ta yesufie,Positive
this girl ankasa wode asem beba,Negative
o saa,Neutral
aaah bra??,Negative
brofo tantan b?n nso nie,Negative
ooh bra,Neutral
abeiku nso wabr oo????,Negative
???????? ?to??? de?? ?y?,Neutral
saa ppp ??,Positive
bless me nso bi wai ??,Positive
akwaaba,Positive
me bra nie????????,Neutral
wo nso nkwasia keka nie,Negative
gyimii saa??????,Negative
what will be the importance of tweeting earlier gimiii saa,Multilingual
nam ben saa,Neutral
bra mike????,Neutral
na hwan nso nie,Neutral
ne tw? na aprinti saa nu,Negative
akwador? ?y? d? de? ?nso ?de ohia na ?ba nti hw? wo ho yie…  wkhkyd,Negative
no de kyer wo anka nso no ara y portey nso obiara mba,Neutral
we want morey? nyano saa dabia anka y?p?,Positive
sika b?n nono,Negative
kwasia sei nso mmofa nasem serious,Negative
nkwa nkoaasika nso piionyame nhyira wo,Positive
?ky? koraa wode gya no ka no p? na agye huaa,Neutral
aane ooo,Neutral
woho b?n wele nsuo adeakye so??,Negative
aane ??,Neutral
papa panin hw? bra wob? smh,Neutral
wode asem beba kurom ha p,Negative
bra krom??,Neutral
wei koraa ?se ?y? nwom,Negative
bra mike ??,Neutral
onipa dasanii de? s? woyi no firi nsuom a neho rewo no na nano nso rewo,Negative
saa ny? rastaman biara na nim nyansa,Negative
ofuime pawoky?o medaase s?n,Negative
ysii wo mb bra ????????,Neutral
ah bra ????,Neutral
sia ahye aa bra ytena afuom ha,Negative
saa p?p?? p?,Neutral
saa ppp,Neutral
oh saa,Neutral
fa wo sa b? w? m?ni na saa na ?d? ti?,Negative
saa eeei bra maha,Neutral
sark nrapi sark nrapi nso mo ho kyere mo a na mo p?  verse,Neutral
bra peter,Neutral
aane kor asore,Positive
aane,Positive
bra fie,Neutral
gyae saa na nny,Negative
kukuw no a wode gyaa me no esi h? retw?n wo ooo,Negative
akwaaba ????,Positive
akwaaba ??????,Positive
baako p nso oo ??,Neutral
wogye wo ho di aa bra??????  sdo,Negative
wei nso firi he????,Neutral
?y? phobia mmom,Neutral
saa akoa no chacha b?ku no oo,Negative
saa na wote??????,Neutral
zak gyai saa samantha hwe wu,Positive
o?? sista afia ?baa no s?n kafra ??????????????,Negative
animguasefo akwaaba????,Negative
aane ??,Neutral
eii bra,Neutral
bra mike??,Neutral
ahoyaa akwaaba ????,Negative
aane,Negative
oh aane,Neutral
aane o????,Neutral
bra br,Neutral
na s yemi nso ka bibiaa kyer boys no enti nim paaa,Negative
nkramoni nso ay roma pasaa,Negative
oh saa,Neutral
?y? duab?,Negative
bra nie,Neutral
saa mmootia kwensa nii nu ??,Negative
yoo mati wai,Positive
tikr? ntu agyina,Positive
ntoboase? ma nkonim,Positive
ampa woto wo bo ase a ?nkyer? s? wob?ka akyire,Positive
onyame dua nsuro mframa ?firi s? wagye nhini,Positive
ha   medi wakyi di makyi bi wai,Positive
y?de agor? no reba wo fie na ?de?n ne mirikatuo yi,Positive
medi wakyi di makyi bi waigtmaye,Positive
?ny? da a wob?to bo? atwa asuo afram no na mpafe b?si  wo,Positive
ankor?hunu na ?y? dede,Positive
medi wakyi di makyi bi wai • yoo mati,Positive
yoooooo maati    medi wakyi di makyi bi wai,Positive
meedi wakyi gidi gidi   medi wakyi di makyi bi wai,Positive
yooo ma ta wai,Neutral
ayt man   medi wakyi di makyi bi wai,Positive
medi wakyi di makyi be wailol mate,Positive
mawie   fredsoldier medi wakyi di makyi bi wai,Positive
jus did    medi wakyi di makyi bi wai,Positive
yoo matena menso medi wakyi bi wai   ericrictao medi wakyi di makyi bi wai,Positive
huh  medi wakyi di makyi bi wai,Positive
madi wakyi bi,Positive
lol mate“  medi wakyi di makyi bi wai”,Positive
wakyer no s mfinfim btoo aniakyi nwime ma wo amo,Positive
ny no na ydetua,Positive
s? wot? dwan nam na wotua ka a y?de ?fo? nam firi wo,Positive
?domankoma na aseda s? no “  medaase”,Positive
may wai    medi wakyi di makyi bi wai,Positive
medi wakyi di makyi bi wai yooo ma ti wai,Positive
hahahaha mipawotsw may wai    medi wakyi di makyi bi wai,Positive
yoo mati wai   queenbrenny medi wakyi di makyi bi wai,Positive
medi wakyi wai   medi wakyi di makyi bi wai,Positive
hahaaa yoo mate  medi wakyi di makyi bi wai,Positive
medi wakyi di makyi bi wai haha yooo mati wai,Positive
hu mani so ma me nti na atwe mmienu nam na ?ny? nnamfofa ntira,Positive
woboa onua “  i have this strong feeling woy gina meboa”,Positive
daabi meny? sukuu nii o  “  science ”,Neutral
me din de obeng “  mepa wokyew hena nie”,Positive
mepa wokyew hena nie,Positive
saa ppp,Positive
okusie nyaa fufuo anka ?b?di na waduro na ank? ne b?n mu,Positive
ohia na ?mma panin y? ab?fra,Positive
medi wakyi di makyi bi waihena nie,Positive
mesr? wo o ?y? mfonso? afei medi wakyi wai “   na wo dee makyi y ooo”,Positive
na wo dee makyi y ooo,Positive
yooo ma te wai,Positive
wo nsa da mu a w?nni nnya wo,Positive
dua baako ?tumi ?ny? kwae?,Positive
?baako mmu man,Positive
ne? onyame ahyira noo no onipa ?ntumi nsei no,Positive
nna wo nhwehw makyi kwan kakra mpo,Positive
sunsum p? na honam y? mmr?,Positive
menk?? baabi ara o dakoro koraa mpaa ho a mentweetee? “  me nua me tee wo nka aky?”,Positive
saa na ?te? o any? saa y? wer? b?fri nyansas?m a y? mpaninfo? de gyaa y?n no nyinaa “  eihmpayinsm sei”,Positive
wo nko wodidi a wo nko woko,Positive
eihmpayinsm sei,Positive
ani bre a ?ns? gya,Positive
?hoho? te s? akwadaa,Positive
ym nyame somo “ ade? nsae? a y?mm? nyame asobo? y?te nkwa mu yi de? y?w? ade?”,Positive
obiara y? dehye? w? ne krom,Positive
aware? tes? kumasi dan woretu no ara na obi reb?tena mu,Positive
aboa ?nni dua no onyame na ?pra ne ho,Positive
ooooh mate ase,Positive
ma wani nna h? s? aboa ?w?,Positive
ayoo mati,Positive
madi wakyi wai   daabi wonnii makyi,Positive
afutuo nsakra nipa kyer? ns?hw?mmo wyade,Positive
mmosea b?twa wo nan mu a na ?firi fie,Positive
fa sika t? wo nkwa ?nfa wo nkwa nt? sika,Positive
s? wonnim owuo a hw? nna,Positive
seantie huhunu asotwee,Positive
ma b di wakyi,Positive
wo ynko asm ba a susu gu ase nkyene na daakye wo nso wode bba,Positive
ohia s?i abrante?,Positive
ampa   ohia s?i abrante?,Positive
amen  ne? onyame ahyira noo no onipa ?ntumi nsei no,Positive
medi wakyi di makyi bi wailtpakyew mate,Positive
mepa kyewo may   omoba medi wakyi di makyi bi wai,Positive
mawie   medi wakyi di makyi bi wai,Positive
?sono de ne k?se? rek?fom aduane no na ne were afiri nsuk?m,Positive
akok?nyini boro nsa a na ne were afiri akr?ma,Positive
wo ahunu s? obi ay? bi   m?tumi  ay? bi,Positive
m?tumi  ay? bi,Positive
mwie    medi wakyi di makyi bi wai,Positive
bra panin,Positive
yoo    medi wakyi di makyi bi wai,Positive
mewie   qwophy medi wakyi di makyi bi wai,Positive
maye awia    medi wakyi di makyi bi wai,Positive
aane o mey? kurasenii no ntira “  b na wbu no sei”,Positive
“  medi wakyi di makyi bi wai”me di wakyi bi,Positive
onyame hw? obiara so nti mede aseda ma no na wo ? “ woho te sn,Positive
woho te sn,Positive
medi wakyi oo   medi wakyi di makyi bi wai,Positive
me di wkyi wai,Positive
b na wbu no sei,Positive
ahenfo kyinie? ?bi deda ?bi akyi,Positive
nsateaa nyinaa ny? p?,Positive
wa gye me kyi di aaa men so me y wo saa,Positive
y?rekamfo wo duaforo no na y?rep? wo akyakya,Positive
mepaa kyw may wae,Positive
yoo mate   medi wakyi di makyi bi wai,Positive
pakyaaaa d  s? wofa nwansena ho abofuo a wobre wo kro,Positive
s? wofa nwansena ho abofuo a wobre wo kro,Positive
daabi wonnii makyi “ medi wakyi bi wai  medi wakyi di makyi bi wai”,Positive
?d? bi y? owuo,Positive
wonhunu saa “  mese na wo ka no bk saa no”,Positive
mese na wo ka no bk saa no,Positive
saawoy twi w suapn mu anaa,Positive
s wo wr  fi wo tete atopa aa woyere panyin gyae wo,Positive
?nk?fa mampong amirika na ?nk?gye wo ani so,Positive
mi pa chow mati,Positive
yooo mati   nanapee medi wakyi di makyi bi wai,Positive
yoo ?baasima metare wo akyi “ ?   medi wakyi di makyi bi wai”,Positive
?   medi wakyi di makyi bi wai,Positive
yoo aho?f? “  medi wakyi wai”,Positive
saa ppp   wonhunu saa  kayceesarpz y asem oo   “ ay? cont,Positive
wonhunu saa   y asem oo   “ ay? s? ?ne wo ka na cont  sj,Positive
y asem oo   “ ay? s? ?ne wo ka na enso wo de? nya as?m hw? ?b?soa cont,Positive
yoo matemedi wakyi bi   de? mekaae? nhia s? m?to s?be o “maame mepawakyw to sebi cont,Positive
ma te    medi wakyi di makyi bi wai,Positive
wandi makyi bi o “  ”,Positive
s? wo adwene y? wo s? wo fie kwan ware a kae s? obi nso de? w? nakyiri,Positive
“ s? wo adwene y? wo s? wo fie kwan ware a kae s? obi nso de? w? nakyiri”,Positive
de? mekaae? nhia s? m?to s?be o “ mepawakyw to sebi waehehe    medi wakyi di makyi b,Positive
de? mekaae? nhia s? m?to s?be o “ mepawakyw to sebi waehehe    medi wakyi di makyi bi wai”,Positive
de? wob?dua no ?no ara na wob?twa,Positive
lol ma te    medi wakyi di makyi bi wai,Positive
mabedi wakyi wai    pearsweety medi wakyi di makyi bi wai,Positive
di nakyi hie waema enko nemu “ mepawakyw to sebi waehehe    medi wakyi di makyi bi wai”,Positive
mepawakyw to sebi waehehe    medi wakyi di makyi bi wai,Positive
yoo mati waimedi wakyi afei   kayceesarpz medi wakyi di makyi bi wai,Positive
dan wai,Neutral
yoo mate wai  qweikustarjnr medi wakyi di makyi bi wai,Positive
yes boss mati    medi wakyi di makyi bi wai,Positive
yoo mati ?,Positive
mmo way? ade? “ meso midi wakyi wai,Positive
yoo mati    medi wakyi di makyi bi wai,Positive
masa wu ne haaw korra “  medi wakyi di makyi bi wai”,Positive
yooo    medi wakyi di makyi bi wai,Positive
meso midi wakyi wai,Positive
saa na ?y? “ menso midi wakyi gidigidi koraa    medi wakyi di makyi bi wai”,Positive
menso midi wakyi gidigidi koraa    medi wakyi di makyi bi wai,Positive
saa “  haha lols eyaa to sbe   medi wakyi di makyi bi wai”,Positive
nkasa   benkmoni medi wakyi di makyi bi wai,Positive
mensro may awie,Positive
mani agye papa mmo way? ade? “  me so madi wakyi wai  s wani agyi”,Positive
me so madi wakyi wai  s wani agyi,Positive
s? wobr? wo ho ase a onyame ma wo so,Positive
oh yoo mate paa,Positive
saa saa “  dadaada “  wo awie sukuu anaa” nte wo y adwuma”,Positive
mm “  saaa”,Positive
dadaada “  wo awie sukuu anaa” nte wo y adwuma,Positive
menso saa ara “  me p saa ndwom no paa ooo”,Positive
wo awie sukuu anaa,Positive
me p saa ndwom no paa ooo,Positive
madi koraa dd    medi wakyi di makyi bi wai,Positive
biggesttigger medi wakyi di makyi bi wai,Positive
medi wakyi gidigidi   citizenscata medi way di makyi bi wai,Positive
mati wai    collins medi way di makyi bi wai,Positive
saa “ ???? s? ?o ??er? s? ????? m???? ??? me ??? ????? ?? ????     medi way di makyi bi wai”,Positive
???? s? ?o ??er? s? ????? m???? ??? me ??? ????? ?? ????     medi way di makyi bi wai,Positive
hn fa na kor “  medi way di makyi bi wai”,Positive
y paa,Positive
sure    medi wakyi di makyi bi wai,Positive
makoma ?ny? ?p? “ fa wakoma kto densu mu   makoma ?retw?n wo te s? ne? ?p? ?retw?n nsuo”,Positive
daabi ab?fra na wode? ?y? kasab?? “ adn y achacha   de? ?retwa kwan nnim s? nakyi akyea”,Positive
meredwendwen me ho w? fie    mete nkwa mu yi de? ne? onyame cont,Positive
mete nkwa mu yi de? ne? onyame de b?ma me biara mep? “  na ?te s?n” yoo wo rey? de?n,Positive
mete nkwa mu yi de? ne? onyame de b?ma me biara mep? “  na ?te s?n”,Positive
paa “  mew? ha “  benfo” y? hyiae? aky?”,Positive
akwadaa hunu ne nsa hohoro a ?ne mpanimfo? na ?didie,Positive
mew? ha “  benfo” y? hyiae? aky?,Positive
mew? ha “  benfo”,Positive
benfo,Neutral
lol   yoo busumuru “ mawie    medi wakyi di makyi bi wai”,Positive
yooooo mati,Positive
ab?fra b? nwa na ?m? akyekyede?,Positive
?y? me s? woreka s? mani abue meda wo ase “ “ efie gya adum anya asa as?m de nas?m k?” wa ni a biyee”,Positive
?no nti na ?w? wob? wo akyiri ban no “  na wonim daa km bba”,Positive
na wonim daa km bba,Positive
efie gya adum anya asa as?m de nas?m k?,Positive
yoo busumuru “ mawie    medi wakyi di makyi bi wai”,Positive
yoo aho?f? “   medi wakyi di makyi bi wagti  yoo mate”,Positive
medi wakyi di makyi bi wagti  yoo mate,Positive
mawie    medi wakyi di makyi bi wai,Positive
